id,label,confidence,rationale
1,skip,,one-shot batch (DeepSeek-V3.2)
2,skip,,one-shot batch (DeepSeek-V3.2)
3,analysis,,one-shot batch (DeepSeek-V3.2)
4,skip,,one-shot batch (DeepSeek-V3.2)
5,analysis,,one-shot batch (DeepSeek-V3.2)
6,skip,,one-shot batch (DeepSeek-V3.2)
7,analysis,,one-shot batch (DeepSeek-V3.2)
8,skip,,one-shot batch (DeepSeek-V3.2)
9,skip,,one-shot batch (DeepSeek-V3.2)
10,skip,,one-shot batch (DeepSeek-V3.2)
11,mixed,,one-shot batch (DeepSeek-V3.2)
12,analysis,,one-shot batch (DeepSeek-V3.2)
13,reaction,,one-shot batch (DeepSeek-V3.2)
14,reaction,,one-shot batch (DeepSeek-V3.2)
15,skip,,one-shot batch (DeepSeek-V3.2)
16,reaction,,one-shot batch (DeepSeek-V3.2)
17,mixed,,one-shot batch (DeepSeek-V3.2)
18,hot_take,,one-shot batch (DeepSeek-V3.2)
19,skip,,one-shot batch (DeepSeek-V3.2)
20,mixed,,one-shot batch (DeepSeek-V3.2)
21,skip,,one-shot batch (DeepSeek-V3.2)
22,skip,,one-shot batch (DeepSeek-V3.2)
23,reaction,,one-shot batch (DeepSeek-V3.2)
24,skip,,one-shot batch (DeepSeek-V3.2)
25,hot_take,,one-shot batch (DeepSeek-V3.2)
26,mixed,,one-shot batch (DeepSeek-V3.2)
27,mixed,,one-shot batch (DeepSeek-V3.2)
28,skip,,one-shot batch (DeepSeek-V3.2)
29,skip,,one-shot batch (DeepSeek-V3.2)
30,mixed,,one-shot batch (DeepSeek-V3.2)
31,reaction,,one-shot batch (DeepSeek-V3.2)
32,skip,,one-shot batch (DeepSeek-V3.2)
33,analysis,,one-shot batch (DeepSeek-V3.2)
34,skip,,one-shot batch (DeepSeek-V3.2)
35,mixed,,one-shot batch (DeepSeek-V3.2)
36,hot_take,,one-shot batch (DeepSeek-V3.2)
37,skip,,one-shot batch (DeepSeek-V3.2)
38,reaction,,one-shot batch (DeepSeek-V3.2)
39,skip,,one-shot batch (DeepSeek-V3.2)
40,reaction,,one-shot batch (DeepSeek-V3.2)
41,skip,,one-shot batch (DeepSeek-V3.2)
42,skip,,one-shot batch (DeepSeek-V3.2)
43,skip,,one-shot batch (DeepSeek-V3.2)
44,skip,,one-shot batch (DeepSeek-V3.2)
45,reaction,,one-shot batch (DeepSeek-V3.2)
46,skip,,one-shot batch (DeepSeek-V3.2)
47,skip,,one-shot batch (DeepSeek-V3.2)
48,skip,,one-shot batch (DeepSeek-V3.2)
49,mixed,,one-shot batch (DeepSeek-V3.2)
50,skip,,one-shot batch (DeepSeek-V3.2)
51,hot_take,,one-shot batch (DeepSeek-V3.2)
52,mixed,,one-shot batch (DeepSeek-V3.2)
53,reaction,,one-shot batch (DeepSeek-V3.2)
54,analysis,,one-shot batch (DeepSeek-V3.2)
55,mixed,,one-shot batch (DeepSeek-V3.2)
56,skip,,one-shot batch (DeepSeek-V3.2)
57,reaction,,one-shot batch (DeepSeek-V3.2)
58,skip,,one-shot batch (DeepSeek-V3.2)
59,skip,,one-shot batch (DeepSeek-V3.2)
60,reaction,,one-shot batch (DeepSeek-V3.2)
61,skip,,one-shot batch (DeepSeek-V3.2)
62,skip,,one-shot batch (DeepSeek-V3.2)
63,mixed,,one-shot batch (DeepSeek-V3.2)
64,analysis,,one-shot batch (DeepSeek-V3.2)
65,reaction,,one-shot batch (DeepSeek-V3.2)
66,hot_take,,one-shot batch (DeepSeek-V3.2)
67,skip,,one-shot batch (DeepSeek-V3.2)
68,hot_take,,one-shot batch (DeepSeek-V3.2)
69,mixed,,one-shot batch (DeepSeek-V3.2)
70,mixed,,one-shot batch (DeepSeek-V3.2)
71,skip,,one-shot batch (DeepSeek-V3.2)
72,reaction,,one-shot batch (DeepSeek-V3.2)
73,skip,,one-shot batch (DeepSeek-V3.2)
74,skip,,one-shot batch (DeepSeek-V3.2)
75,hot_take,,one-shot batch (DeepSeek-V3.2)
76,skip,,one-shot batch (DeepSeek-V3.2)
77,skip,,one-shot batch (DeepSeek-V3.2)
78,reaction,,one-shot batch (DeepSeek-V3.2)
